GGDENAME,GDEKT,Summe_Flaeche
Rothenbrunnen,GR,27866.982212518014
Rothenburg,LU,468587.3563923269
Rothenfluh,BL,92872.71597830698
Rothenthurm,SZ,202015.4687347566
Rothrist,AG,720433.686168482
Rottenschwil,AG,69721.90312148027
Rougemont,VD,172079.82953829196
Roveredo (GR),GR,188901.74255075582
Rovray,VD,28576.149550735186
Rubigen,BE,185264.5022366177
Rudolfstetten-Friedlisberg,AG,200376.1184252862
Rue,FR,133968.94358597323
Rueyres,VD,33381.842973304214
Rumendingen,BE,22827.741859473885
Rumisberg,BE,52846.22643014418
Rupperswil,AG,384276.52623023145
Russikon,ZH,378554.7311756471
Russin,GE,45831.55905016333
Ruswil,LU,481556.71752409486
Römerswil,LU,141780.96279518557
Röschenz,BL,160099.182892655
Röthenbach im Emmental,BE,186552.26731161893
Rüderswil,BE,294470.3930515052
Rüdlingen,SH,79275.48824965935
Rüdtligen-Alchenflüh,BE,176392.52942191716
Rüeggisberg,BE,281763.35756638314
Rüegsau,BE,312902.16412393935
Rüfenach,AG,99241.77036961523
Rümlang,ZH,517524.24345036445
Rümlingen,BL,51482.491668669776
Rünenberg,BL,87722.25864747918
Rüschegg,BE,218652.29285872163
Rüschlikon,ZH,315724.17742063035
Rüthi (SG),SG,267680.8221051251
Rüti (ZH),ZH,702218.5916080747
Rüti bei Büren,BE,101666.95612085437
Rüti bei Lyssach,BE,22168.005502324115
Rütschelen,BE,66375.16422990567
Rüttenen,SO,109974.63435838922
S-chanf,GR,80383.79794205338
Saanen,BE,862128.1408142146
Saas-Almagell,VS,32795.37550986079
Saas-Balen,VS,25903.63678216086
Saas-Fee,VS,159423.48064561017
Saas-Grund,VS,78909.5569131749
Sachseln,OW,306873.6259000954
Safenwil,AG,317815.3586602821
Safiental,GR,115294.8209577652
Safnern,BE,162116.1128588722
Sagogn,GR,61406.49183434971
Saicourt,BE,86815.51514656308
Saignelégier,JU,256115.51151032405
Saillon,VS,168749.55093870507
Saint-Aubin (FR),FR,162038.48992098248
Saint-Barthélemy (VD),VD,57416.99742933514
Saint-Blaise,NE,176890.8043989829
Saint-Brais,JU,45694.27043981909
Saint-Cergue,VD,155711.8523477189
Saint-George,VD,73503.3246135056
Saint-Gingolph,VS,76594.29419706474
Saint-Imier,BE,302883.719974733
Saint-Livres,VD,51363.943544279784
Saint-Léonard,VS,116912.39586220712
Saint-Martin (FR),FR,108228.24166571192
Saint-Martin (VS),VS,67306.31583892806
Saint-Maurice,VS,247078.4687182158
Saint-Oyens,VD,28193.673382181176
Saint-Prex,VD,271387.8255221005
Saint-Saphorin (Lavaux),VD,26995.20011722566
Saint-Sulpice (VD),VD,163331.92526551106
Sainte-Croix,VD,368806.2258607455
Salenstein,TG,161625.93089875387
Salgesch,VS,132903.72094678297
Salmsach,TG,154417.23893281256
Salvan,VS,147855.9256114567
Samedan,GR,244804.81744347958
Samnaun,GR,100233.5727101347
San Vittore,GR,86233.98028941077
Sant'Antonino,TI,235285.76905633742
Santa Maria in Calanca,GR,21585.084018016063
Sargans,SG,368267.27070874575
Sarmenstorf,AG,212422.32730913482
Sarnen,OW,681010.4914626486
Satigny,GE,567965.4657672773
Sattel,SZ,229851.4360390328
Saubraz,VD,28168.431037624734
Sauge,BE,83549.8957755088
Saulcy,JU,34631.46682037623
Saules (BE),BE,18933.163097595483
Savigny,VD,260874.9447050711
Savièse,VS,492239.94542727945
Savosa,TI,106910.89076995327
Saxeten,BE,17916.87413798499
Saxon,VS,345039.52784663317
Schaffhausen,SH,1988742.1867665842
Schafisheim,AG,338714.49505025207
Schangnau,BE,154230.14760715116
Scharans,GR,62905.13752243351
Schattdorf,UR,329111.68437653175
Schattenhalb,BE,68368.16850156235
Schelten,BE,8847.261621768554
Schenkon,LU,173320.33641053393
Scheuren,BE,47618.32997543232
Schiers,GR,221817.47106326502
Schinznach,AG,225512.02034253144
Schlatt (TG),TG,249674.45615727364
Schlatt (ZH),ZH,81278.05522937562
Schlatt-Haslen,AI,205337.51085116086
Schleinikon,ZH,55541.67486339114
Schleitheim,SH,208789.67233741865
Schlierbach,LU,67952.59349904768
Schlieren,ZH,858791.9671123134
Schlossrued,AG,107995.28366845068
Schluein,GR,61788.37953909248
Schmerikon,SG,259640.60472047783
Schmiedrued,AG,137355.35653742705
Schmitten (FR),FR,286217.4115550645
Schmitten (GR),GR,28795.653112092215
Schneisingen,AG,119037.52774865314
Schnottwil,SO,114251.81133404157
Schongau,LU,110435.79010177261
Schupfart,AG,82606.57380029796
Schwaderloch,AG,65505.36370116588
Schwadernau,BE,71115.62582972259
Schwanden bei Brienz,BE,51771.975063120975
Schwarzenberg,LU,140707.241647274
Schwarzenburg,BE,711208.0124413851
Schwarzhäusern,BE,56331.09314740912
Schwellbrunn,AR,168875.3739697172
Schwende-Rüte,AI,700570.39816361
Schwerzenbach,ZH,252359.04881666333
Schwyz,SZ,1114987.6175336794
Schänis,SG,345951.0346239363
Schöfflisdorf,ZH,102992.4962331567
Schöftland,AG,287834.15644425346
Schönenbuch,BL,108652.48252788046
Schönengrund,AR,56730.254788463535
Schönenwerd,SO,324698.28181159426
Schönholzerswilen,TG,179095.00069654264
Schötz,LU,286879.9035841805
Schübelbach,SZ,468591.2792833926
Schüpfen,BE,335318.3361640832
Schüpfheim,LU,381921.48303965427
Scuol,GR,553192.3991950386
Seeberg,BE,215968.50303111773
Seedorf (BE),BE,339658.67214413924
Seedorf (UR),UR,135839.33350011977
Seegräben,ZH,125416.17295080857
Seehof,BE,10431.25779452391
Seelisberg,UR,69404.98911288459
Seengen,AG,280588.5966626999
Seewen,SO,113685.44937956899
Seewis im Prättigau,GR,135133.67125985277
Seftigen,BE,166044.26078766506
Seltisberg,BL,109782.18924825199
Selzach,SO,283653.1770531477
Sembrancher,VS,69735.31773477606
Sempach,LU,236935.24738528565
Semsales,FR,123931.68949305224
Senarclens,VD,37876.43264353912
Sennwald,SG,709171.0747734194
Seon,AG,419742.22956519993
Sergey,VD,15417.816057679185
Serravalle,TI,201740.30557968607
Servion,VD,145044.65584834598
Seuzach,ZH,401875.98318257614
Sevelen,SG,413687.74690063787
Siblingen,SH,93559.7375832062
Sierre,VS,881581.0095617078
Siglistorf,AG,49492.33900883367
Signau,BE,330775.50156537653
Signy-Avenex,VD,43847.73520866703
Sigriswil,BE,463122.3439586044
Silenen,UR,150610.83348011828
Sils im Domleschg,GR,67547.64299450343
Sils im Engadin/Segl,GR,112984.44215631441
Silvaplana,GR,146471.0630779474
Simplon,VS,40466.128177333565
Sins,AG,391501.81175061455
Sion,VS,1610762.6229340567
Sirnach,TG,515817.6386810159
Siselen,BE,81542.12463497861
Sisikon,UR,25204.280752449347
Sissach,BL,502766.50796600594
Sisseln,AG,148212.62805078216
Siviriez,FR,225841.57942723422
Soazza,GR,28142.590252487204
Solothurn,SO,993385.8845668992
Sommeri,TG,103273.87807728011
Sonceboz-Sombeval,BE,153477.05120805773
Sonvilier,BE,129007.939234704
Soral,GE,41863.38518966938
Sorengo,TI,96555.56958483081
Sorens,FR,93481.00399486405
Sorvilier,BE,33157.819925109725
Soubey,JU,29207.3240168979
Soyhières,JU,43236.22250466293
Speicher,AR,318913.9535247779
Spiez,BE,813284.765326712
Spiringen,UR,82669.3224996025
Spreitenbach,AG,563777.9162381276
St. Gallen,SG,3622331.7797059505
St. Margrethen,SG,413561.73966625606
St. Moritz,GR,455970.2125201235
St. Niklaus,VS,156331.83226637173
St. Silvester,FR,93718.118655797
St. Stephan,BE,174496.39148347362
St. Ursen,FR,131656.25385795886
Stabio,TI,484387.780619811
Stadel,ZH,173409.23754167356
Staffelbach,AG,121725.93532273102
Stalden (VS),VS,80205.11507874132
Staldenried,VS,42017.13923609122
Stallikon,ZH,260962.69631234958
Stammheim,ZH,359751.71473086916
Stans,NW,514089.8192245824
Stansstad,NW,235740.32578825
Starrkirch-Wil,SO,98314.2674052354
Staufen,AG,168426.6085843148
Steckborn,TG,320725.5140562131
Steffisburg,BE,849931.0053114839
Steg-Hohtenn,VS,185243.06949247594
Stein (AG),AG,188334.0381978227
Stein (AR),AR,193344.89531134724
Stein am Rhein,SH,284389.45577805775
Steinach,SG,252932.07113930612
Steinen,SZ,209846.07238791676
Steinerberg,SZ,97064.13028323656
Steinhausen,ZG,473906.46775805834
Steinmaur,ZH,246401.0529705701
Stetten (AG),AG,158507.0537582034
Stetten (SH),SH,92918.49645536349
Stettfurt,TG,149187.54282891928
Stettlen,BE,195654.14265619102
Stocken-Höfen,BE,112202.93744618367
Strengelbach,AG,296559.95002222504
Studen (BE),BE,212944.71825244548
Stäfa,ZH,792192.1283434394
Stüsslingen,SO,116395.7142368491
Subingen,SO,237967.33571917782
Suchy,VD,55033.89256465247
Sufers,GR,14203.796211727873
Suhr,AG,556757.2504728814
Sulgen,TG,431521.03564756544
Sullens,VD,69695.48410014283
Sumiswald,BE,686974.4532413398
Sumvitg,GR,120067.231688528
Surpierre,FR,118860.59979992585
Sursee,LU,621162.5185435807
Surses,GR,372341.81215702655
Suscévaz,VD,18888.550130855154
Sutz-Lattrigen,BE,101590.16171461808
Syens,VD,19051.0107206434
Sâles,FR,183520.61266714623
Sévaz,FR,39036.05439685382
Tafers,FR,628714.2904730395
Tamins,GR,74835.20840774449
Tannay,VD,102243.03473350442
Tartegnin,VD,15271.017871741682
Tavannes,BE,250985.95847833762
Tecknau,BL,58846.87892462722
Tegerfelden,AG,106894.45646703278
Tenero-Contra,TI,156497.93545621057
Tenniken,BL,85086.04411930595
Tentlingen,FR,99965.69947974781
Termen,VS,80909.28890159502
Terre di Pedemonte,TI,201565.8509355443
Teufen (AR),AR,458157.9345285356
Teufenthal (AG),AG,137444.86298167804
Teuffenthal (BE),BE,27684.082827716316
Thal,SG,560478.8573099248
Thalheim (AG),AG,92175.31498422784
Thalheim an der Thur,ZH,94583.54904996636
Thalwil,ZH,691811.6314238335
Thayngen,SH,460520.922926794
Therwil,BL,485838.87418257265
Thierachern,BE,167081.11079920668
Thun,BE,2308729.9705768004
Thundorf,TG,223483.42492495515
Thunstetten,BE,348642.9129103989
Thurnen,BE,159064.5503860571
Thusis,GR,191202.0610865169
Thônex,GE,463634.0677933778
Thörigen,BE,115246.33662603654
Thürnen,BL,90583.78064563802
Titterten,BL,55563.484519418824
Tobel-Tägerschen,TG,197359.72308305302
Toffen,BE,179752.43127588404
Tolochenaz,VD,141730.53834416834
Torny,FR,85279.81236593142
Torricella-Taverne,TI,192357.23004693855
Trachselwald,BE,170705.6409973263
Tramelan,BE,364905.86596436135
Trasadingen,SH,74339.23764348432
Treiten,BE,51855.89496874769
Tresa,TI,287736.5785706313
Trey,VD,55875.568988042825
Treycovagnes,VD,32641.69901037167
Treytorrens (Payerne),VD,22086.233223452105
Treyvaux,FR,127466.93914547739
Triengen,LU,359107.81671781436
Trient,VS,21227.409384510942
Trimbach,SO,327841.7347023368
Trimmis,GR,190952.73654393788
Trin,GR,117324.6113732189
Trogen,AR,203523.79487703007
Troinex,GE,122086.4908913188
Troistorrents,VS,471542.99846010224
Trub,BE,252366.66910823534
Trubschachen,BE,166179.54944550295
Trun,GR,114976.69880089135
Truttikon,ZH,46053.72920754651
Trélex,VD,103389.54162136406
Trüllikon,ZH,104028.68627587258
Tschappina,GR,23438.32555254925
Tschiertschen-Praden,GR,56528.9870229584
Tschugg,BE,47369.01131084456
Tuggen,SZ,355625.7701399507
Tujetsch,GR,158847.58483663693
Turbenthal,ZH,366205.7209164684
Turgi,AG,121011.17513745114
Turtmann-Unterems,VS,99046.11963286235
Twann-Tüscherz,BE,103689.6000445899
Tägerig,AG,90394.46152834017
Tägerwilen,TG,460234.34476524
Täsch,VS,67342.38736025213
Täuffelen,BE,208001.9623960657
Tévenon,VD,67236.56677959197
Törbel,VS,45252.73797489492
Tübach,SG,118977.18394595226
Udligenswil,LU,142643.4531842421
Ueberstorf,FR,209226.31255640302
Uebeschi,BE,67534.3312425965
Uerkheim,AG,122944.21804277747
Uesslingen-Buch,TG,205123.4907400978
Uetendorf,BE,484453.70092617645
Uetikon am See,ZH,363753.5273691568
Uezwil,AG,40364.87831297931
Ufhusen,LU,111745.36964897485
Uitikon,ZH,290004.30290676374
Ulmiz,FR,48988.77563795344
Unterbäch,VS,45324.88262618622
Untereggen,SG,84137.45104326039
Unterengstringen,ZH,213096.48498916256
Unterentfelden,AG,269279.4911788701
Unteriberg,SZ,316247.23111147416
Unterkulm,AG,227663.6889999632
Unterlangenegg,BE,117007.49671849795
Unterlunkhofen,AG,88152.28977305269
Unterramsern,SO,26380.677461591284
Unterschächen,UR,50601.08186039571
Unterseen,BE,344801.754660463
Untersiggenthal,AG,373120.60933442233
Untervaz,GR,162094.7729454396
Unterägeri,ZG,528613.4162168676
Urdorf,ZH,514394.40287925646
Urmein,GR,23129.548487302694
Urnäsch,AR,369275.702756015
Ursenbach,BE,136023.0786630412
Ursins,VD,25194.844576942083
Ursy,FR,217431.20699196277
Urtenen-Schönbühl,BE,303709.4590542631
Uster,ZH,1722793.1874546572
Uttigen,BE,121187.46538013902
Uttwil,TG,159398.1061200176
Utzenstorf,BE,393764.2707091559
Uznach,SG,416108.16551490483
Uzwil,SG,770982.6700424261
Vacallo,TI,150549.68435212463
Val Mara,TI,191407.5432321315
Val Müstair,GR,214451.66934337746
Val Terbi,JU,315320.97149986605
Val de Bagnes,VS,1007616.826669048
Val-d'Illiez,VS,257717.6327680756
Val-de-Charmey,FR,250048.56969153415
Val-de-Ruz,NE,1110340.1218825334
Val-de-Travers,NE,982305.8254024115
Valbirse,BE,314006.89965537185
Valbroye,VD,363924.1198326449
Valeyres-sous-Montagny,VD,46447.50666233998
Valeyres-sous-Rances,VD,52445.626735663296
Valeyres-sous-Ursins,VD,26643.46197475036
Vallon,FR,31078.80699564414
Vallorbe,VD,259871.44469752372
Vals,GR,94621.49857815281
Valsot,GR,131997.53105566677
Vandoeuvres,GE,200217.10552987078
Varen,VS,51244.54761925523
Vaulion,VD,72308.48083470415
Vaulruz,FR,110161.81725108706
Vaux-sur-Morges,VD,17927.829015086263
Vaz/Obervaz,GR,456343.37174999964
Vechigen,BE,420707.90113763226
Veltheim (AG),AG,140934.72255899955
Vendlincourt,JU,101982.35885292315
Vernate,TI,43369.829857887
Vernayaz,VS,103979.56290399836
Vernier,GE,987441.0056503706
Versoix,GE,397868.445741645
Verzasca,TI,150564.7492321505
Vevey,VD,553064.1202954301
Vex,VS,188620.69500747058
Veyrier,GE,553980.3323259511
Veysonnaz,VS,60777.948702068665
Veytaux,VD,48819.82924939067
Vezia,TI,104075.46002639695
Vich,VD,66849.74983938748
Vico Morcote,TI,52266.08222209251
Villars-Epeney,VD,8541.6721509378
Villars-Sainte-Croix,VD,70702.95838678963
Villars-le-Comte,VD,23261.58790352697
Villars-le-Terroir,VD,77741.5316899578
Villars-sous-Yens,VD,36830.10416138277
Villars-sur-Glâne,FR,495248.964702674
Villarsel-sur-Marly,FR,8209.424521824052
Villarzel,VD,65670.4035718599
Villaz,FR,193789.99996989057
Villeneuve (VD),VD,338301.9325775374
Villeret,BE,88287.23608732986
Villigen,AG,152278.1903379261
Villmergen,AG,567451.3875559528
Villnachern,AG,104850.29656319946
Villorsonnens,FR,142602.59152630036
Vilters-Wangs,SG,466383.0308149657
Vinelz,BE,102332.93213336375
Vinzel,VD,26920.02569010755
Vionnaz,VS,181539.81489447146
Visp,VS,411044.78887525765
Visperterminen,VS,86886.5915808798
Vitznau,LU,134365.65359221556
Volken,ZH,33444.430798190006
Volketswil,ZH,1092615.2749924134
Vordemwald,AG,164717.681143895
Vorderthal,SZ,95266.57384103237
Vouvry,VS,243786.24873370273
Vuadens,FR,178316.15532570198
Vuarrens,VD,80874.71617027605
Vucherens,VD,54404.39695045557
Vufflens-la-Ville,VD,93369.69397126835
Vufflens-le-Château,VD,54476.9788198515
Vugelles-La Mothe,VD,18614.215057200774
Vuisternens-devant-Romont,FR,270251.5394737026
Vuiteboeuf,VD,54872.98651425159
Vulliens,VD,53758.75700127998
Vullierens,VD,54665.58684867106
Vully-les-Lacs,VD,331528.8924217422
Vérossaz,VS,46094.06345395243
Vétroz,VS,310659.7696711932
Wachseldorn,BE,36958.20236874417
Wagenhausen,TG,229291.90917107693
Wahlen,BL,113020.06404853318
Walchwil,ZG,280248.09255524195
Wald (AR),AR,97354.85573061995
Wald (BE),BE,195805.37148931064
Wald (ZH),ZH,751998.6689708519
Waldenburg,BL,111177.54264886155
Waldkirch,SG,313174.8543286632
Waldstatt,AR,162948.45574685046
Walenstadt,SG,529020.0270243536
Walkringen,BE,226333.03075168698
Wallbach,AG,153496.16413680202
Wallisellen,ZH,887387.7208707731
Walliswil bei Niederbipp,BE,21227.520936889163
Walliswil bei Wangen,BE,57335.58497029602
Walperswil,BE,111276.6390209031
Waltenschwil,AG,179228.80372390192
Walterswil (BE),BE,99450.76781797686
Walterswil (SO),SO,78116.35003138489
Walzenhausen,AR,190462.4454062272
Wangen (SZ),SZ,373569.93663577235
Wangen an der Aare,BE,194925.52318976572
Wangen bei Olten,SO,336218.08750957873
Wangen-Brüttisellen,ZH,525933.6380745178
Wangenried,BE,52744.722826188576
Wartau,SG,482575.5814189525
Warth-Weiningen,TG,164375.34552945252
Wassen,UR,44167.063435946
Wasterkingen,ZH,45688.7081427463
Wattenwil,BE,245382.3849744374
Wattwil,SG,686928.9091850528
Wauwil,LU,118051.80037149694
Weesen,SG,144449.0868455484
Wegenstetten,AG,107192.44300480442
Weggis,LU,357573.49833238404
Weiach,ZH,118383.7524386887
Weinfelden,TG,1042717.5537628356
Weiningen (ZH),ZH,268349.3861713924
Weisslingen,ZH,250107.315777107
Welschenrohr-Gänsbrunnen,SO,115842.81370421495
Wengi,BE,93072.70330429963
Wenslingen,BL,89873.92965066526
Werthenstein,LU,204887.50897715788
Wettingen,AG,853145.2949880665
Wettswil am Albis,ZH,272892.02562910074
Wetzikon (ZH),ZH,1282714.0174555243
Wichtrach,BE,275827.03855802846
Widen,AG,213275.50972762494
Widnau,SG,747081.3359439935
Wiedlisbach,BE,235641.808586994
Wiesendangen,ZH,433678.42632469774
Wiggiswil,BE,18234.357677773685
Wigoltingen,TG,395250.35060701636
Wikon,LU,164996.15731956853
Wil (SG),SG,1297664.8887256028
Wil (ZH),ZH,146031.13155651072
Wila,ZH,196483.98586403579
Wilchingen,SH,193875.52102806358
Wildberg,ZH,137282.12117231986
Wilderswil,BE,206507.85406873064
Wildhaus-Alt St. Johann,SG,447072.05635715707
Wilen (TG),TG,147043.7934255299
Wiler (Lötschen),VS,57721.7628863248
Wiler bei Utzenstorf,BE,108347.68506707538
Wileroltigen,BE,43053.97531289724
Wiliberg,AG,22701.309967958638
Willadingen,BE,31394.614514408036
Willisau,LU,725789.2717841011
Wimmis,BE,195839.3754902551
Windisch,AG,364045.0897126206
Winkel,ZH,232619.35182564767
Wintersingen,BL,80526.16632588735
Winterthur,ZH,4782357.073618279
Winznau,SO,130974.79449493157
Wisen (SO),SO,44394.62583406649
Wittenbach,SG,444922.54374653427
Witterswil,SO,105204.90193546088
Wittinsburg,BL,53302.45079054925
Wittnau,AG,120337.41934630074
Wohlen (AG),AG,839765.7094715737
Wohlen bei Bern,BE,593315.6898619886
Wohlenschwil,AG,112082.9018735699
Wolfenschiessen,NW,133867.57393259837
Wolfhalden,AR,174746.1741191863
Wolfwil,SO,218426.38657887786
Wolhusen,LU,253236.18623221805
Wollerau,SZ,470552.9811670113
Worb,BE,690909.7576236561
Worben,BE,161468.8969246356
Wuppenau,TG,205538.1423326188
Wynau,BE,137218.78692242166
Wynigen,BE,281225.34106899326
Wyssachen,BE,197179.0228304966
Wädenswil,ZH,1542461.4086327176
Wäldi,TG,238232.88639133543
Wängi,TG,534829.8181348395
Wölflinswil,AG,100052.34015149827
Wünnewil-Flamatt,FR,323359.2278947524
Würenlingen,AG,313313.77085330343
Würenlos,AG,339216.26004106546
Yens,VD,110070.3101511693
Yverdon-les-Bains,VD,1131821.7301691987
Yvonand,VD,232042.35935193734
Yvorne,VD,124287.95420316268
Zeglingen,BL,83275.27278925026
Zeihen,AG,89129.2384774522
Zeiningen,AG,192295.45943424213
Zell (LU),LU,200743.3134785212
Zell (ZH),ZH,292849.2122128032
Zeneggen,VS,32443.63996916032
Zermatt,VS,383320.1143163499
Zernez,GR,157802.05306990532
Zetzwil,AG,126796.19770597319
Ziefen,BL,162283.38157183875
Zielebach,BE,35089.78362991178
Zihlschlacht-Sitterdorf,TG,322262.7290448799
Zillis-Reischen,GR,36617.15746600162
Zizers,GR,198105.28806247356
Zofingen,AG,740043.8385430471
Zollikofen,BE,463419.1350338162
Zollikon,ZH,641243.7920677183
Zuchwil,SO,465192.96401240194
Zufikon,AG,231875.8674256877
Zug,ZG,1354031.7832760948
Zullwil,SO,52186.537073900145
Zumikon,ZH,336165.2571291603
Zunzgen,BL,177066.62902937247
Zuoz,GR,119195.43813268995
Zurzach,AG,531129.100237877
Zuzgen,AG,88083.63716347465
Zuzwil (BE),BE,56560.17332565544
Zuzwil (SG),SG,406943.9580505022
Zweisimmen,BE,348175.3483319881
Zwieselberg,BE,41385.212424970465
Zwingen,BL,222011.05982017622
Zwischbergen,VS,11167.439085113137
Zäziwil,BE,140433.7166077933
Zürich,ZH,14389666.99904245
