GGDENAME,GDEKT,Summe_Flaeche
Bourg-Saint-Pierre,VS,42250.21717365421
Bourg-en-Lavaux,VD,331613.8903710309
Bournens,VD,32697.641709127725
Bourrignon,JU,41330.25760156957
Boussens,VD,59699.98195193651
Bovernier,VS,55000.82463702928
Bowil,BE,170511.27183830773
Boécourt,JU,104613.71789042855
Braunau,TG,130798.34853389871
Bregaglia,GR,229067.05432443405
Breggia,TI,166225.32789657192
Breil/Brigels,GR,220311.62241648082
Breitenbach,SO,225557.7363818929
Bremblens,VD,43411.034308689974
Bremgarten (AG),AG,515448.6473449954
Bremgarten bei Bern,BE,198523.26305477577
Brenzikofen,BE,50822.48263705812
Bretigny-sur-Morrens,VD,45236.04592934681
Bretonnières,VD,28146.22019632767
Bretzwil,BL,91961.93470510826
Brienz (BE),BE,327489.01249163965
Brienzwiler,BE,57862.98374924833
Brig-Glis,VS,652802.0152328548
Brione sopra Minusio,TI,72459.55268729212
Brislach,BL,172061.1981137202
Brissago,TI,248269.98814979536
Brittnau,AG,315779.77170707687
Broc,FR,146727.48522790978
Brot-Plamboz,NE,55121.53091869643
Brugg,AG,721069.3414864112
Brunegg,AG,92984.77883843702
Brusino Arsizio,TI,53146.30573053676
Brusio,GR,117572.94575760447
Brügg,BE,333438.2992918692
Brünisried,FR,62739.65003586751
Brüttelen,BE,82703.17325018135
Brütten,ZH,140799.5285030601
Bubendorf,BL,365573.83284167317
Bubikon,ZH,593363.2905953496
Buch (SH),SH,44158.374809408415
Buch am Irchel,ZH,99241.80131691149
Buchberg,SH,84828.01710051131
Buchegg,SO,319410.10312746064
Buchholterberg,BE,186661.64608698018
Buchillon,VD,55817.189659581
Buchrain,LU,331535.27162893425
Buchs (AG),AG,487989.1282020303
Buchs (SG),SG,762845.8750381526
Buchs (ZH),ZH,370253.5069918087
Buckten,BL,74491.92535993467
Bulle,FR,1062895.7735240043
Bullet,VD,79792.6454087076
Buochs,NW,251294.59187546902
Bure,JU,95166.8413276022
Burg im Leimental,BL,31761.78871429811
Burgdorf,BE,1130397.64095754
Burgistein,BE,120952.2207949536
Bursinel,VD,31419.119913387905
Bursins,VD,68681.37708156666
Burtigny,VD,37768.938784912025
Buseno,GR,15745.37045602564
Bussigny,VD,408842.9389644044
Bussnang,TG,391183.48556236085
Busswil bei Melchnau,BE,31642.234184202567
Bussy-sur-Moudon,VD,26214.900303540184
Buttisholz,LU,255949.7065283935
Buttwil,AG,87683.49561468374
Buus,BL,119259.73906315197
Bäretswil,ZH,463848.84847606486
Bäriswil,BE,80327.9430243735
Bärschwil,SO,81548.48156560118
Bätterkinden,BE,286726.2542055658
Bättwil,SO,96775.97442957983
Böckten,BL,82398.83837743869
Bönigen,BE,178813.8827779909
Bösingen,FR,242070.13975133322
Böttstein,AG,266685.5805362468
Bözberg,AG,189857.42095712738
Böztal,AG,249486.2961364827
Büetigen,BE,65309.96286785254
Bühl,BE,47929.71577995021
Bühler,AR,159340.7391998907
Bülach,ZH,809402.4003621181
Bünzen,AG,84485.5863394328
Bürchen,VS,111484.6468288828
Büren (SO),SO,78916.29969305875
Büren an der Aare,BE,281176.037081166
Bürglen (TG),TG,447248.743424582
Bürglen (UR),UR,227752.32385217966
Büron,LU,171458.11386937008
Büsserach,SO,174956.87022331182
Bütschwil-Ganterschwil,SG,602933.2465417353
Büttenhardt,SH,34875.99403184027
Büttikon,AG,60737.086876455214
Cademario,TI,65280.85493611664
Cadempino,TI,93353.98734699858
Cadenazzo,TI,241304.1438686883
Calanca,GR,46049.54820431862
Cama,GR,41001.66274247444
Campo (Vallemaggia),TI,26307.537857220235
Canobbio,TI,109480.67367395111
Capriasca,TI,386878.56753532105
Carouge (GE),GE,648444.1045858805
Cartigny,GE,61152.195865965165
Caslano,TI,232228.8004501821
Castaneda,GR,25730.732903824537
Castel San Pietro,TI,185880.18299883048
Cazis,GR,195902.00309243603
Celerina/Schlarigna,GR,158401.91397464933
Centovalli,TI,147074.99762058468
Cerentino,TI,16145.428694790338
Cevio,TI,146525.28929119784
Chalais,VS,272985.72498408856
Cham,ZG,724149.3371458595
Chamblon,VD,40899.43190828927
